Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",,,,,,,,,,,,213.7282741,231.0377011,211.030543,231.4527637,247.6804891,281.9832957,301.2712802,305.0123563,327.5075836,341.2100775,387.6413537,413.6700665,446.5556435,481.8843882,507.6902628,507.7351922,526.0854109,524.7402544,544.9817128,550.7499128,548.1208909,550.4176918,575.3916412,530.6731185,552.8229345,575.6067751,585.5278236,617.0185691,665.9474564,643.7303453,649.693464,706.8893105,736.3487281,738.3281941,788.6004285,812.0522916,840.0517908,867.3181991,
El Salvador,,,,,,,,,,,,455.9538675,475.0154069,489.7853775,488.617483,533.3748889,603.1099677,609.9176136,633.1350132,606.768721,540.2660108,574.5855794,585.2722036,554.9634531,558.8690986,525.114475,450.2033422,496.408163,457.5212524,463.0319231,463.2528304,501.9325791,515.7085404,534.9214621,558.4892935,586.3827915,554.6211083,608.6541959,621.7208689,643.2021865,666.7432536,694.6791994,697.8168041,734.2807738,721.1959728,742.08808,760.4777806,812.8695392,795.9034286,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.6522381,289.923323,298.6603355,311.2808427,321.6022735,312.914815,198.0052651,198.577944,193.5841086,195.1649078,189.2417814,194.4670261,172.2962092,170.7979349,150.9408865,150.7999403,138.2214332,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100.701083,5589.365791,4110.241357,3321.954485,3531.784005,3504.523312,3889.830508,3840.714286,3702.207474,3498.711395,3442.830646,3606.780294,3465.963376,3832.229614,3916.238552,3836.267736,3748.287183,4182.840515,4026.33002,
Ethiopia,,,,,,,,,,,,289.1547322,286.6768618,286.6314319,286.5616527,286.2388908,289.1425883,292.8444935,298.5569872,302.9886024,305.9142269,307.6383944,306.234609,305.6592547,303.0768452,301.684728,302.5889069,304.9813468,304.8532365,305.887757,307.8328935,307.1529484,301.5341559,286.8164676,287.5609363,287.8758061,287.4568987,284.9904217,286.0079048,284.4904944,284.501357,287.6665594,287.2921751,288.0616599,287.7950024,287.6472118,288.8120205,390.3942989,392.7970652,
Euro area,1409.650776,1462.106477,1573.573245,1691.814906,1770.13306,1825.148213,1874.477511,1953.070281,2107.459831,2277.833383,2760.414521,2793.990665,2934.162592,3123.227124,3080.789264,2947.634,3158.675578,3121.509294,3240.62064,3370.792598,3307.950589,3196.013347,3086.213777,3110.637086,3216.820229,3315.476428,3348.102329,3420.00475,3448.003845,3508.536262,3527.013492,3570.584812,3505.63916,3476.379499,3464.332346,3566.075398,3670.304387,3660.027335,3718.33872,3714.03384,3755.534861,3837.006567,3811.189837,3876.311344,3904.036051,3883.494922,3847.68479,3793.144004,3762.681011,3546.555453
Europe & Central Asia (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754.329287,3721.46568,3497.247642,3372.115713,3188.879811,3200.618654,3240.193154,3176.236253,3168.325679,3164.042955,3195.917786,3244.044424,3239.744492,3328.428268,3348.079827,3351.204723,3382.197844,3360.259998,3363.885056,
Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4038.245325,3931.035999,3529.418351,3275.673757,2898.107114,2830.960358,2787.097454,2680.086796,2627.608661,2636.972541,2686.561784,2701.450254,2728.834403,2839.039102,2854.669114,2877.328352,2965.385443,2990.889798,3029.564814,
European Union,1726.86509,1768.310881,1874.831842,1984.989168,2053.296379,2102.639278,2146.580419,2213.583606,2349.573355,2519.876707,2906.02903,2917.475728,3023.214244,3185.614212,3132.356193,3053.292912,3235.741915,3247.180289,3351.127877,3475.846214,3381.827924,3267.912408,3207.320338,3216.127851,3281.965149,3396.402331,3442.708905,3505.996851,3522.384474,3526.085305,3469.494277,3465.20654,3377.497695,3360.392911,3338.236649,3427.707744,3538.228551,3497.414435,3514.54725,3481.334385,3499.308809,3577.054118,3553.969381,3620.893388,3641.360846,3629.180413,3613.032678,3554.010841,3523.54746,3417.713899
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2196.839233,2252.858104,2362.057448,2479.106788,2678.171027,2887.598598,3065.269592,3126.356926,3342.338448,3668.252595,3872.557534,3935.875217,4187.931034,4507.715388,4383.50032,4182.126937,4459.585273,4516.142646,4664.001683,4963.273872,5146.23431,4934.583333,4805.469236,4823.723229,4910.282671,5270.093839,5482.716551,5959.659436,5585.336296,5756.348247,5692.137986,5742.520941,5380.999603,5617.647059,5971.703675,5661.707126,6069.658537,6276.855191,6320.007762,6284.06447,6203.202038,6341.755802,6653.274773,7046.428225,7063.119503,6498.541774,7049.014596,6925.872423,6635.112477,6181.820566
France,1734.130035,1785.932457,1896.953062,2015.266856,2124.901677,2155.728291,2173.277195,2303.786227,2419.473104,2599.368019,3020.404948,3094.007922,3237.732346,3456.291492,3323.541746,3130.268127,3328.223932,3251.782858,3452.394335,3581.408798,3559.205642,3457.015245,3354.86417,3426.947815,3535.752634,3694.326627,3736.902914,3813.463958,3779.865436,3897.246438,3946.223671,4152.235532,4061.594311,4113.851695,3945.460726,4091.418297,4308.706442,4162.984469,4275.779992,4252.615266,4276.505492,4397.894918,4381.059478,4418.779127,4456.013074,4441.000115,4350.934139,4260.518956,4279.15846,4040.660984
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
