nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Germany,20688.12689,20767.11714,20707.03706,21089.9822,21762.22594,22311.25438,22812.78021,23099.36558,23862.5197,24600.92741,25671.71408,26787.16195,27176.22605,26781.49971,27371.6972,27846.14843,28030.24967,28480.76064,29067.50381,29637.5876,30543.13632,30875.676,30810.1885,30730.9451,31111.40587,31363.52234,32456.61648,33363.82449,33757.59099,32254.75434
Ghana,983.4389046,921.4983547,829.5985242,764.3257938,802.1313918,815.9998986,833.0209656,848.661212,872.3838777,892.1633049,896.5499257,917.3187898,925.7635961,943.0993266,947.1513131,959.6289434,977.8527821,993.4084,1014.777241,1034.065792,1046.919811,1063.214895,1085.244519,1115.544995,1151.597728,1192.835802,1242.076264,1294.696497,1374.990925,1409.67434
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,17210.88197,16793.70014,16500.03291,16227.57856,16471.88078,16820.66168,16856.82907,16415.101,17057.55676,17612.7405,17489.67145,17857.85973,17792.11111,17346.84935,17547.91697,17779.90364,18071.76779,18610.97197,19134.01013,19700.99971,20518.04951,21315.87089,21973.55759,23203.59473,24192.39302,24640.49129,25651.99516,26693.04531,27123.47773,26482.28211
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,3204.017042,3175.407138,3241.822428,3236.260395,3306.456925,3521.285446,3802.823192,4259.65707,4465.101807,4794.619555,5074.372321,5181.22938,5125.287639,4933.41104,5013.063614,5096.161502,5276.856094,5505.837339,5860.217373,6446.339802,7250.827721,6953.844357,7086.564612,7664.675885,7148.225128,7984.90966,7806.271198,8132.866518,8176.939118,7593.075164
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,3884.424225,3813.932783,3588.604814,3410.202351,3343.800339,3244.208017,3173.076982,3210.211217,3259.51821,3311.31288,3336.411135,3379.26199,3461.203883,3514.212743,3572.042127,3663.34579,3686.434075,3760.72284,3859.271911,3915.803119,3962.084269,3957.442892,4010.365007,4010.647004,4034.953521,4063.956329,4177.783766,4333.000807,4367.270429,4285.615647
Guinea,,,,,,,769.5710967,772.8716158,797.4580416,802.6560654,807.6596857,796.5216865,788.7223256,794.56765,794.7640616,803.7317554,821.7457558,839.0534168,860.8503022,883.2805845,882.6158562,890.9167342,907.3978458,938.8767688,942.7186966,951.9956471,955.9502161,952.1960994,977.0549765,951.4668617
Guinea-Bissau,931.715182,1074.347241,1097.630127,1042.731864,1119.406862,1145.867644,1115.472945,1125.146973,1152.202128,1195.183281,1238.08745,1268.440516,1248.373253,1240.249225,1246.368897,1268.919643,1383.320073,1441.008397,1014.03594,1069.50886,1123.828294,1099.520734,996.6135216,943.6530982,948.9995099,973.3247382,972.3724149,953.8510684,965.5652379,972.6867696
Guyana,2060.632394,2083.623223,1807.883093,1688.768216,1610.188436,1656.979612,1651.899886,1678.430354,1627.658932,1555.689583,1513.107603,1603.800338,1724.93635,1859.025925,2009.742678,2104.891547,2269.630633,2413.152402,2375.808862,2449.475804,2416.082215,2467.455403,2487.937211,2456.401151,2531.311337,2477.941881,2603.554273,2786.433806,2844.630733,2942.122251
Haiti,,,,,,,,,,,,1380.766264,1281.159178,1187.55298,1025.019359,1104.418163,1127.711071,1135.850397,1138.547443,1147.668897,1136.699726,1105.152304,1083.604625,1069.465662,1014.932075,1016.411177,1022.526825,1039.792776,1031.97213,1045.212593
Honduras,2814.42136,2797.28116,2674.626794,2570.132599,2601.596254,2629.923907,2570.714068,2646.130902,2688.296305,2724.992822,2651.647923,2662.980462,2737.335335,2832.030933,2724.890894,2767.395322,2801.04691,2876.190625,2896.697372,2782.85422,2882.398181,2900.746449,2949.173846,3021.764885,3146.296097,3270.46489,3416.141183,3559.71233,3627.911677,3488.406606
"Hong Kong SAR, China",13945.22855,14890.69202,15089.45778,15748.6431,17141.96902,17072.66263,18732.53925,20994.35218,22617.19874,22881.51938,23697.2837,24839.86534,26133.01027,27240.3219,28235.27967,28316.46359,28222.81027,29404.03894,27402.2995,27835.5308,29785.09378,29713.41195,30126.72029,31093.61665,33464.16363,35677.91851,37937.93426,39958.23272,40519.95032,39254.86299
Hungary,10625.53137,10937.65954,11266.31506,11376.80958,11719.30829,11734.16786,11964.93879,12506.49444,12550.86041,12697.12829,12281.82278,10821.87678,10494.3813,10445.82845,10768.41218,10944.03611,11074.81169,11575.66697,12201.77324,12754.36424,13583.17124,14172.55289,14838.33749,15520.77907,16286.28002,16955.15681,17660.81627,17865.07872,18003.76573,16896.26778
Iceland,21862.66584,22499.0697,22689.16261,21920.05568,22634.15516,23185.44156,24436.50186,26201.35704,25769.30976,25549.63748,25635.37104,25260.82207,24118.74974,24185.43896,24851.00835,24694.30908,25684.2735,26748.05681,28230.10248,29015.25541,29892.43095,30628.69741,30351.76685,30916.96353,33008.51217,34920.5601,35681.00236,36860.05562,36526.52237,33980.22094
India,895.4362765,928.238337,939.5468815,986.6394405,1003.038187,1034.19748,1060.304657,1079.097471,1158.564641,1202.523701,1243.646266,1232.194327,1275.737669,1312.026306,1374.317596,1452.202815,1534.654964,1569.30543,1638.073466,1729.442277,1769.204495,1831.662373,1871.354833,1997.980427,2132.675722,2299.763102,2478.511527,2685.587635,2780.530277,2993.303801
Indonesia,1361.143991,1441.141575,1426.872973,1515.982933,1592.496291,1616.158687,1680.605832,1737.662556,1815.689541,1946.949771,2087.175054,2237.103059,2361.340245,2494.300881,2642.700254,2823.056963,2995.602431,3092.616282,2649.724355,2634.378545,2726.729939,2788.274429,2875.114703,2973.11304,3082.467688,3216.814978,3351.822827,3521.407335,3688.992419,3812.756147
"Iran, Islamic Rep.",7087.155723,6484.064119,7065.627956,7669.366216,7267.797042,7131.482525,6249.326423,5965.54322,5430.972109,5622.437111,6254.307829,6929.677162,7109.034979,6885.408545,6751.833611,6820.389428,7191.804409,7322.536426,7395.706501,7413.333286,7667.425518,7821.602688,8277.536254,8730.184306,9035.932929,9314.382846,9721.13259,10345.54912,10445.93326,10495.74065
